experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9698335528373718, max_false: 0.9389510154724121, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9538682699203491, max_false: 0.9483897686004639, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9372637271881104, max_false: 0.9385915994644165, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8871718049049377, max_false: 0.9421728849411011, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9721975922584534, max_false: 0.900290846824646, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9680702686309814, max_false: 0.971839427947998, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.951661229133606, max_false: 0.9635385870933533, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9389026165008545, max_false: 0.940747857093811, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8918151259422302, max_false: 0.8357514142990112, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9137728810310364, max_false: 0.9237044453620911, correct: False
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9635627865791321, max_false: 0.9720097184181213, correct: False
in: torch.Size([88, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9168984889984131, max_false: 0.8764631748199463, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9811826348304749, max_false: 0.9435524344444275, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9641312956809998, max_false: 0.964910089969635, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9461868405342102, max_false: 0.9327574968338013, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9558112621307373, max_false: 0.9546709060668945, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9617969989776611, max_false: 0.9665250778198242, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9669259786605835, max_false: 0.9659040570259094, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8208261728286743, max_false: 0.7001722455024719, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9455244541168213, max_false: 0.9338775873184204, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9787569046020508, max_false: 0.966221272945404, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9677363634109497, max_false: 0.9718920588493347, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9749565720558167, max_false: 0.966023862361908, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9607616662979126, max_false: 0.9326164126396179, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9555959701538086, max_false: 0.9334806799888611, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9466474652290344, max_false: 0.9196003675460815, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8777607679367065, max_false: 0.9168898463249207, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9589274525642395, max_false: 0.9616819620132446, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9710362553596497, max_false: 0.9716687798500061, correct: False
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9733037352561951, max_false: 0.9628040790557861, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9572927951812744, max_false: 0.9433643817901611, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9617490768432617, max_false: 0.942350447177887, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9470928311347961, max_false: 0.953519344329834, correct: False
in: torch.Size([138, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9663246870040894, max_false: 0.9741578698158264, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9668124318122864, max_false: 0.9504448771476746, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9540475010871887, max_false: 0.9309197664260864, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8807438015937805, max_false: 0.8784423470497131, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9498926401138306, max_false: 0.9526804089546204, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9704518914222717, max_false: 0.9654152393341064, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9610375761985779, max_false: 0.9521186351776123, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9306192994117737, max_false: 0.9453393220901489, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9659638404846191, max_false: 0.933312714099884, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8819471001625061, max_false: 0.7349820733070374, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.7621905207633972, max_false: 0.6806488037109375, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8458570241928101, max_false: 0.8747573494911194, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9364520907402039, max_false: 0.9646980166435242, correct: False
